DatumZeit,LinkKasse,LinkArtikel,Anzahl
2017-02-08,32,1216,301.0
2017-02-08,32,1218,313.0
2017-02-08,32,1219,18.0
2017-02-08,32,1221,22.0
2017-02-08,32,1222,18.0
2017-02-08,32,1224,11.0
2017-02-08,32,1570,28.0
2017-02-08,32,1939,12.0
2017-02-08,32,2054,15.0
2017-02-08,32,2057,10.0
2017-02-09,32,1216,331.0
2017-02-09,32,1218,262.0
2017-02-09,32,1219,24.0
2017-02-09,32,1221,24.0
2017-02-09,32,1222,13.0
2017-02-09,32,1224,17.0
2017-02-09,32,1570,34.0
2017-02-09,32,1939,11.0
2017-02-09,32,2054,10.0
2017-02-09,32,2057,14.0
2017-02-10,32,1216,339.0
2017-02-10,32,1218,270.0
2017-02-10,32,1219,23.0
2017-02-10,32,1221,27.0
2017-02-10,32,1222,18.0
2017-02-10,32,1224,15.0
2017-02-10,32,1570,24.0
2017-02-10,32,1939,16.0
2017-02-10,32,2054,10.0
2017-02-10,32,2057,12.0
2017-02-11,32,1216,666.0
2017-02-11,32,1218,415.0
2017-02-11,32,1219,73.0
2017-02-11,32,1221,80.0
2017-02-11,32,1222,58.0
2017-02-11,32,1224,33.0
2017-02-11,32,1570,20.0
2017-02-11,32,1939,18.0
2017-02-11,32,2054,25.0
2017-02-11,32,2057,41.0
2017-02-12,32,1216,655.0
2017-02-12,32,1218,534.0
2017-02-12,32,1219,129.0
2017-02-12,32,1221,119.0
2017-02-12,32,1222,61.0
2017-02-12,32,1224,35.0
2017-02-12,32,1570,34.0
2017-02-12,32,1939,24.0
2017-02-12,32,2054,25.0
2017-02-12,32,2057,63.0
2017-02-13,32,1216,268.0
2017-02-13,32,1218,257.0
2017-02-13,32,1219,18.0
2017-02-13,32,1221,23.0
2017-02-13,32,1222,7.0
2017-02-13,32,1224,13.0
2017-02-13,32,1570,25.0
2017-02-13,32,1939,9.0
2017-02-13,32,2054,12.0
2017-02-13,32,2057,12.0
2017-02-14,32,1216,322.0
2017-02-14,32,1218,246.0
2017-02-14,32,1219,20.0
2017-02-14,32,1221,20.0
2017-02-14,32,1222,10.0
2017-02-14,32,1224,10.0
2017-02-14,32,1570,24.0
